"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-12-31,"14845","NY","Elmira","Chemung County","Town of Horseheads",4953,1060,-0.0022,0.0841,0.0084,7450
2019-12-31,"01886","MA","Boston-Cambridge-Newton","Middlesex County","Westford",4954,2210,-0.0203,-0.0227,0.0086,8941
2019-12-31,"80232","CO","Denver-Aurora-Lakewood","Jefferson County","Lakewood",4955,1630,0.0005,0.0061,0.0068,8442
2019-12-31,"33860","FL","Lakeland-Winter Haven","Polk County","Mulberry",4956,1190,-0.0184,-0.0089,0.0396,7096
2019-12-31,"70401","LA","Hammond","Tangipahoa Parish","Hammond",4957,990,0.0214,-0.0017,-0.0237,5421
2019-12-31,"48377","MI","Detroit-Warren-Dearborn","Oakland County","Novi",4958,1470,-0.0196,-0.008,0.0002,1844
2019-12-31,"94089","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","Sunnyvale",4959,3530,0.006,-0.0036,0.0389,3929
2019-12-31,"46580","IN","Warsaw","Kosciusko County","Warsaw",4960,1220,-0.0274,0.0136,0.0603,7458
2019-12-31,"31605","GA","Valdosta","Lowndes County","Valdosta",4961,990,-0.0116,0.0006,-0.0323,9109
2019-12-31,"15905","PA","Johnstown","Cambria County","Upper Yoder Township",4962,670,-0.0005,-0.0028,-0.0032,7023
2019-12-31,"45227","OH","Cincinnati","Hamilton County","Cincinnati",4963,1250,-0.0017,0.0383,0.062,6672
2019-12-31,"07016","NJ","New York-Newark-Jersey City","Union County","Cranford",4964,1920,-0.003,-0.0012,0.0317,8264
2019-12-31,"95521","CA","Eureka-Arcata-Fortuna","Humboldt County","Arcata",4965,1620,0.0032,-0.0009,0.03,1652
2019-12-31,"22209","VA","Washington-Arlington-Alexandria","Arlington County","Arlington",4966,2330,-0.0037,-0.0074,0.021,5828
2019-12-31,"11360","NY","New York-Newark-Jersey City","Queens County","New York",4967,2230,-0.0162,0.0032,-0.0066,13973
2019-12-31,"08105","NJ","Philadelphia-Camden-Wilmington","Camden County","Camden",4968,1120,0.0057,0.0187,0.0817,6472
2019-12-31,"43616","OH","Toledo","Lucas County","Oregon",4969,930,0.0256,0.0569,0.024,7404
2019-12-31,"33759","FL","Tampa-St. Petersburg-Clearwater","Pinellas County","Clearwater",4970,1400,0.0032,0.0174,0.0336,6388
2019-12-31,"49431","MI","Ludington","Mason County","Ludington",4971,930,0.0079,0.009,-0.047,1033
2019-12-31,"29906","SC","Hilton Head Island-Bluffton-Beaufort","Beaufort County","Beaufort",4972,1400,-0.0004,0.0021,-0.0573,5346
2019-12-31,"35674","AL","Florence-Muscle Shoals","Colbert County","Tuscumbia",4973,830,-0.0069,-0.0161,-0.0058,6570
2019-12-31,"98368","WA",,"Jefferson County","Port Townsend",4974,1640,0.0116,-0.0066,0.0333,7599
2019-12-31,"30507","GA","Gainesville","Hall County","Gainesville",4975,1210,-0.002,0.0001,0.0016,8783
2019-12-31,"34446","FL","Homosassa Springs","Citrus County","Homosassa",4976,1180,-0.006,0.0169,0.0468,7568
2019-12-31,"07112","NJ","New York-Newark-Jersey City","Essex County","Newark",4977,1520,0.0037,0.0222,0.0263,5174
2019-12-31,"63110","MO","St. Louis","Saint Louis City","Saint Louis",4978,1010,0.0006,0.029,0.0684,6955
2019-12-31,"78752","TX","Austin-Round Rock","Travis County","Austin",4979,1570,-0.0073,0.0045,0.1188,4573
2019-12-31,"06905","CT","Bridgeport-Stamford-Norwalk","Fairfield County","Stamford",4980,2260,0.0004,0.0002,-0.0113,14028
2019-12-31,"67226","KS","Wichita","Sedgwick County","Wichita",4981,1130,0.0024,0.0381,0.0248,6492
2019-12-31,"48182","MI","Monroe","Monroe County","Temperance",4982,1220,-0.0024,0.0248,0.1221,3103
2019-12-31,"04074","ME","Portland-South Portland","Cumberland County","Scarborough",4983,1850,0.0182,-0.0146,0.0834,9106
2019-12-31,"91755","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Monterey Park",4984,2530,-0.0053,0.0068,0.0141,6709
2019-12-31,"08109","NJ","Philadelphia-Camden-Wilmington","Camden County","Merchantville",4985,1420,-0.0054,-0.0212,-0.0548,7288
2019-12-31,"07644","NJ","New York-Newark-Jersey City","Bergen County","Lodi",4986,1880,-0.0105,-0.0026,0.0167,4828
2019-12-31,"32713","FL","Deltona-Daytona Beach-Ormond Beach","Volusia County","Debary",4987,1320,0.0049,0.0045,0.0164,8748
2019-12-31,"45405","OH","Dayton","Montgomery County","Dayton",4988,810,0.0017,0.056,0.0274,7080
2019-12-31,"29206","SC","Columbia","Richland County","Forest Acres",4989,1080,0.0032,-0.0298,-0.0653,7045
2019-12-31,"01945","MA","Boston-Cambridge-Newton","Essex County","Marblehead",4990,2270,-0.0023,0.0082,0.0389,7900
2019-12-31,"06488","CT","New Haven-Milford","New Haven County","Southbury",4991,1410,0.0048,-0.0064,-0.0327,18741
2019-12-31,"12189","NY","Albany-Schenectady-Troy","Albany County","Watervliet",4992,1120,0.0044,-0.0073,-0.0233,4985
2019-12-31,"52317","IA","Iowa City","Johnson County","North Liberty",4993,1180,0.0056,0.0215,0.0023,9813
